# Transit light curve
# generated: 2026-09-25T19:18:23.598145+00:00
# target_ra_deg: 359.15201
# target_dec_deg: 36.21299
# n_comparison_stars: 3
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461307.636994 0.992681 0.003879
2461307.637809 0.999690 0.003911
2461307.638621 0.990804 0.003914
2461307.639431 0.997355 0.003953
2461307.640241 0.997104 0.004009
2461307.641050 0.993338 0.003987
2461307.641860 0.994723 0.004031
2461307.642670 0.995248 0.004041
2461307.643479 0.997757 0.004115
2461307.644290 0.997418 0.004107
2461307.645096 0.997177 0.004135
2461307.645909 0.997821 0.004176
2461307.646722 0.998492 0.004187
