# Transit light curve
# generated: 2026-09-25T20:31:50.663649+00:00
# target_ra_deg: 359.15201
# target_dec_deg: 36.21299
# n_comparison_stars: 3
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461307.645096 1.020175 0.004523
2461307.645909 1.022045 0.004575
2461307.646722 1.023643 0.004593
2461307.647528 1.020486 0.004649
2461307.648342 1.020751 0.004664
2461307.649147 1.026884 0.004750
2461307.649960 1.020549 0.004726
2461307.650774 1.025803 0.004832
2461307.651577 1.018862 0.004800
2461307.652390 1.028135 0.004952
2461307.653195 1.017245 0.004865
2461307.654007 1.026419 0.004992
2461307.654819 1.031615 0.005041
2461307.655632 1.016946 0.004991
2461307.656445 1.031504 0.005089
2461307.657249 1.023075 0.005127
2461307.658058 1.023420 0.005157
2461307.658863 1.037819 0.005219
2461307.659676 1.039555 0.005280
2461307.660481 1.032077 0.005240
2461307.661294 1.028556 0.005278
2461307.662108 1.028732 0.005283
2461307.662912 1.030518 0.005320
2461307.663725 1.038627 0.005406
2461307.664538 1.033085 0.005404
2461307.665346 1.039453 0.005468
2461307.666151 1.032833 0.005486
2461307.666962 1.032940 0.005519
2461307.667767 1.025994 0.005546
2461307.668584 1.038275 0.005558
2461307.669391 1.028934 0.005610
2461307.670203 1.035140 0.005625
2461307.671002 1.028709 0.005650
