# Transit light curve
# generated: 2026-09-23T13:50:15.119009+00:00
# target_ra_deg: 329.102
# target_dec_deg: 20.678
# n_comparison_stars: 2
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461306.702038 1.278949 0.003237
2461306.702477 1.070236 0.002569
2461306.702915 1.093708 0.002642
2461306.703354 1.082014 0.002606
2461306.703793 1.067483 0.002563
2461306.704231 1.042159 0.002484
2461306.704670 0.997150 0.002348
2461306.705109 1.052985 0.002517
2461306.705548 1.066371 0.002562
2461306.705987 1.050422 0.002509
2461306.706426 1.044473 0.002491
2461306.706866 1.038734 0.002474
2461306.707305 1.230650 0.003080
2461306.707743 1.061409 0.002547
2461306.708180 1.059690 0.002537
2461306.708618 1.171388 0.002888
2461306.709055 1.102250 0.002665
2461306.709494 1.146140 0.002812
2461306.709932 1.113547 0.002703
2461306.710370 1.114041 0.002706
2461306.710808 1.221170 0.003050
2461306.711249 1.175698 0.002902
2461306.711688 1.141173 0.002796
2461306.712126 1.170412 0.002904
2461306.712564 1.247279 0.003143
2461306.713004 1.462152 0.003908
2461306.713442 1.239055 0.003124
2461306.713881 1.341253 0.003475
2461306.714320 1.260947 0.003192
2461306.715199 1.147290 0.002816
2461306.715638 1.138922 0.002788
2461306.716078 1.161804 0.002860
2461306.716515 1.094924 0.002649
2461306.716953 1.095972 0.002647
2461306.717392 1.127706 0.002750
2461306.717830 1.108320 0.002692
2461306.718270 1.045079 0.002493
2461306.718708 1.089599 0.002632
2461306.719147 1.151880 0.002825
2461306.719584 1.033443 0.002457
2461306.720022 1.067723 0.002561
2461306.720460 1.076359 0.002593
2461306.720903 1.115392 0.002711
2461306.721342 1.159623 0.002857
2461306.721779 1.080982 0.002601
2461306.722217 1.097235 0.002658
2461306.722656 1.077247 0.002592
2461306.723095 1.152042 0.002831
2461306.723536 1.015044 0.002404
2461306.723974 1.339497 0.003440
2461306.724415 1.140115 0.002791
2461306.724853 1.121008 0.002730
2461306.725293 1.109446 0.002695
2461306.725733 1.060489 0.002540
2461306.726173 1.162013 0.002860
2461306.726611 1.048636 0.002511
2461306.727049 1.034064 0.002462
2461306.727487 1.054610 0.002521
2461306.727925 1.135681 0.002776
2461306.728364 1.076695 0.002590
2461306.728802 1.072160 0.002576
2461306.729238 1.059033 0.002537
2461306.729678 1.119682 0.002727
2461306.730115 1.146385 0.002813
2461306.730551 1.110534 0.002698
2461306.730990 1.078178 0.002596
2461306.731429 1.122386 0.002736
2461306.731868 1.189689 0.002946
2461306.732307 1.039893 0.002485
2461306.732748 1.053147 0.002521
2461306.733187 1.020442 0.002422
2461306.733626 1.139750 0.002797
2461306.734064 1.070827 0.002577
2461306.734502 1.097375 0.002659
2461306.734941 1.030088 0.002448
2461306.735380 1.124638 0.002745
2461306.735819 1.047898 0.002507
2461306.736257 1.080788 0.002610
2461306.736694 1.116667 0.002716
2461306.737132 1.253934 0.003157
