# Transit light curve
# generated: 2026-09-23T14:50:15.237637+00:00
# target_ra_deg: 329.102
# target_dec_deg: 20.678
# n_comparison_stars: 2
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461306.683173 1.054352 0.002098
2461306.683610 1.096620 0.002202
2461306.684049 1.036221 0.002055
2461306.684487 1.060418 0.002102
2461306.684926 1.072374 0.002131
2461306.685365 1.030237 0.002039
2461306.685804 1.079252 0.002151
2461306.686244 1.114429 0.002225
2461306.686683 1.053714 0.002095
2461306.687122 1.036285 0.002048
2461306.687562 1.153408 0.002316
2461306.688000 1.096005 0.002185
2461306.688439 1.143294 0.002296
2461306.688878 1.161840 0.002342
2461306.689315 1.102403 0.002203
2461306.689753 1.097902 0.002193
2461306.690190 1.003443 0.001972
2461306.690627 1.018781 0.002009
2461306.691065 0.992005 0.001956
2461306.691503 1.066072 0.002124
2461306.691943 1.074329 0.002180
2461306.692382 1.128090 0.002304
2461306.692820 1.069169 0.002168
2461306.693259 1.047484 0.002074
2461306.693698 1.034142 0.002039
2461306.694138 0.982737 0.001936
2461306.694577 1.105920 0.002213
2461306.695016 1.034229 0.002046
2461306.695455 1.001499 0.001978
2461306.695895 1.110719 0.002224
2461306.696334 1.042609 0.002056
2461306.696774 1.082625 0.002158
2461306.697211 1.083557 0.002169
2461306.697651 1.011557 0.001996
2461306.698089 0.982296 0.001934
2461306.698527 1.022193 0.002013
2461306.698964 1.084899 0.002156
2461306.699402 1.012887 0.001999
2461306.699839 1.047601 0.002079
2461306.700278 1.044953 0.002067
2461306.700717 1.107825 0.002218
2461306.701154 1.170330 0.002352
2461306.701596 1.159392 0.002333
2461306.702038 1.199872 0.002440
2461306.702477 1.054281 0.002084
2461306.702915 1.074297 0.002134
2461306.703354 1.057133 0.002094
2461306.703793 1.048278 0.002074
2461306.704231 1.031301 0.002040
2461306.704670 0.980313 0.001933
2461306.705109 1.036241 0.002045
2461306.705548 1.051956 0.002083
2461306.705987 1.037749 0.002052
2461306.706426 1.022631 0.002017
2461306.706866 1.028033 0.002030
2461306.707305 1.164179 0.002348
2461306.707743 1.052322 0.002091
2461306.708180 1.049670 0.002079
2461306.708618 1.127182 0.002253
2461306.709055 1.073923 0.002124
2461306.709494 1.100723 0.002198
2461306.709932 1.090759 0.002172
2461306.710370 1.089500 0.002169
2461306.710808 1.152364 0.002322
